name,price,shape,category_id
EPICOTIL 20MG I.M./I.V. 3 VIAL,21.75,AMP-VIAL,4
EPIDRON 4MG/ML VIAL,6,AMP-VIAL,5
EPIFASI 5000 I.U.AMP.,84.5,AMP-VIAL,
EPIFENAC 75MG/3ML 3 AMP.,18,AMP-VIAL,4
EPIGENT 80MG/2ML I.M./I.V. 3 AMP.,6,AMP-VIAL,12
EPIGONAL 75I.U. AMP.,66,AMP-VIAL,
EPINOSINE-B FORTE I.M. 3 AMP.,25.5,AMP-VIAL,13
EPIRELEFAN 40MG VIAL,11,AMP-VIAL,5
EPOETIN SEDICO 4000I.U./ML VIAL.,115,AMP-VIAL,
EURONEMIA 100MG/5ML 5 AMP FOR I.V. INJ.,120,AMP-VIAL,13
EXARETIC 20MG/2ML 3 AMP,32.5,AMP-VIAL,10
FELDENE 20MG/ML I.M. 3 AMP.,23.64,AMP-VIAL,4
FELDENE 20MG/ML I.M. 6 AMP,47.25,AMP-VIAL,4
FELDORAL 20MG/ML 3 AMP.,6.5,AMP-VIAL,4
FEROSAC 100MG/5ML AMP.,200,AMP-VIAL,13
FLEBOTON 3ML 3 AMP.,27,AMP-VIAL,
FLUCAMOX 1GM VIAL,8,AMP-VIAL,12
FLUMOX 1 GM I.M/I.V. VIAL,12.75,AMP-VIAL,12
FLUMOX 500MG I.M./I.V. VIAL,9,AMP-VIAL,12
"FORTAMIND 500MG/4ML 5AMP FOR IV/I, INJ.",52.5,AMP-VIAL,
FORTAZEDIM 1GM VIAL,22.5,AMP-VIAL,12
FORTIBIOTIC 1500MG I.M./I.V.VIAL,17.25,AMP-VIAL,12
FORTUM 1GM VIAL.,56.25,AMP-VIAL,12
FORTUM 500MG VIAL.,34.25,AMP-VIAL,12
FOXIME 1GM I.M.VIAL,21.6,AMP-VIAL,12
FOXIME 1GM I.V. VIAL,21.6,AMP-VIAL,12
FOXIME 500MG I.M./I.V.VIAL,15,AMP-VIAL,12
GARAMYCIN 80MG/2ML 3 AMP.,16,AMP-VIAL,12
GAST-REG 50MG 3AMP,11,AMP-VIAL,6
GAST-REG 50mg/5ml I.V./I.M.amp.,11,AMP-VIAL,6
GASTROTIDINE 20MG/2ML 3 AMP.,21,AMP-VIAL,6
GLOMETHASONE 8MG/2ML IM/IV 3 AMP.,34.5,AMP-VIAL,5
GLUCOSE 10% W/V I.V.INFUSION 500ML,12,AMP-VIAL,
GLUCOSE 5% W/V I.V.INFUSION 500ML,10.5,AMP-VIAL,
GONAPURE 75I.U./ML I.M./S.C.AMP.,132,AMP-VIAL,
GRANITRYL 1MG/1ML 6 AMP,203.1,AMP-VIAL,9
HAEMOJET 100MG/2ML 6 AMP.,48.75,AMP-VIAL,13
HAEMOKION 10mg/ml amp.,7.7,AMP-VIAL,13
HAEMOPOWER 100MG/2ML 5 AMP. I.M,27,AMP-VIAL,13
HAEMOSTOP 250MG/2ML 3 AMP.,6,AMP-VIAL,10
HEBITAXIME 0.5GM VIAL,15,AMP-VIAL,12
HEBITAXIME 1GM VIAL,20.75,AMP-VIAL,12
HYDROXOCOBALAMIN 1000MG 3 AMP.,9.75,AMP-VIAL,13
INJECTMOL 10MG/ML 100 ML VIAL FOR I.V. I,27,AMP-VIAL,4
INSULINAGYPT 70/30 100 I.U./ML VIAL 10ML,48,AMP-VIAL,11
INZAD 1 GM VIAL I.M./I.V.,22.5,AMP-VIAL,12
KAPRON 500MG/5ML 6 AMP.,40.5,AMP-VIAL,10
KETOFAN 100MG/2ML I.M. 3 AMP.,5,AMP-VIAL,4
KETOLAC 5 AMP. I.M/I.V. INF.,18,AMP-VIAL,4
KETOLGIN 100MG 3 AMP.,5,AMP-VIAL,4
LASIX 20MG/2ML 3 AMP.,18,AMP-VIAL,10
L-CARNITINE 1GM/5ML 5 AMP. I.V./INF.,39.75,AMP-VIAL,13
LIOMETACIN 50MG/2ML LYOPHILIZED AMP.,69,AMP-VIAL,4
LIVABION 6 AMP,42.75,AMP-VIAL,13
LONGACEF I.M. 1GM VIAL,35,AMP-VIAL,12
LORNOXICAM 8MG I.M./I.V. 1 AMP.,12.75,AMP-VIAL,4
LUTOFOLONE 2 AMP.,17,AMP-VIAL,
LUTONE 25MG/ML I.M. 3 AMP.,19.5,AMP-VIAL,
MAXIPIME 1GM I.M./I.V. VIAL,57,AMP-VIAL,12
MEDEXAFLAM 15MG 3 AMP.,12,AMP-VIAL,4
MERIOFERT 75 I.U. VIAL,185,AMP-VIAL,
MESOCEPT 1ML 1 AMP.,13,AMP-VIAL,
MESPORINE 1GM I.M. VIAL,20,AMP-VIAL,
METHERGIN 0.2MG/ML 5 AMP.,16,AMP-VIAL,
METHOTREXATE 50MG VIAL (TP),32,AMP-VIAL,
MINOPHYLLINE-N 2.5% I.V.AMP.,10.5,AMP-VIAL,7
MITASHE 1MG/ML 3 AMP.,81,AMP-VIAL,9
MIXTARD 30 HM 100I.U./ML VIAL 10ML,55,AMP-VIAL,11
MOBITIL 15MG/1.5ML 3 AMPOULE,16.5,AMP-VIAL,4
NAPIZOLE 40 MG VIAL FOR IV INF.,60,AMP-VIAL,12
NAUSILEX 50MG/2ML I.V/I.M 3 AMP.,28.5,AMP-VIAL,9
NERCEFAXON 1000MG I.M.VIAL,21.75,AMP-VIAL,12
NEURIMAX 6  I.M. AMP,27,AMP-VIAL,13
NEURORUBINE  6AMP,27,AMP-VIAL,13
NEUROTON 6 AMP,27,AMP-VIAL,13
NEUROVIT 6  AMP.,27,AMP-VIAL,13
NORFLEX 30MG/ML 3 AMP.,5.5,AMP-VIAL,4
NORMAL SALINE 0.9% INJ.,10.5,AMP-VIAL,
NOVACTAM 1500MG VIAL,24,AMP-VIAL,12
NOVACTAM 750 MG VIAL,16,AMP-VIAL,12
NOVALGIN 500MG/ML 3 AMP FOR I.M./I.V.,20.25,AMP-VIAL,4
OFRAMAX 1GM I.M.VIAL,40.5,AMP-VIAL,12
OMNEVORA 8 I.M. AMP. 2 ML,56,AMP-VIAL,13
OXYPROGEST   VIAL,15,AMP-VIAL,
PANTAZOL 40MG VIAL,33.6,AMP-VIAL,6
PENCITARD 1200000 I.U./VIAL,9,AMP-VIAL,11
PHAROFEN 75MG 4 AMP.,15,AMP-VIAL,4
PIMFAST 1G  FOR I.V/I.M INJ.,34.25,AMP-VIAL,12
POWER B COMPLEX I.M./I.V. 6 AMP.,15,AMP-VIAL,13
PRIMAFOXIN 1 GM  VIAL  I.V./INF.,45,AMP-VIAL,12
PRIMPERAN 10MG/2ML 12 AMP.,31.5,AMP-VIAL,8
PROGESING  AMP,82.5,AMP-VIAL,
PRONTOGEST 100MG/2ML I.M. 10 AMP.,124,AMP-VIAL,
PROTOFIX I.V. 40MG VIAL,45,AMP-VIAL,6
PULMICORT 0.25MG/ML  20 AMP,260.5,AMP-VIAL,5
RAMECEFTRAX 1GM IM VIAL,23.5,AMP-VIAL,12
RAMECEFTRAX 500 MG IM VIAL,20.75,AMP-VIAL,12
RAMETAX 1GM I.V./I.M VIAL,17.25,AMP-VIAL,12
REMDESIVIR EVA 100MG VIAL,470,AMP-VIAL,12
RHEUMARENE 75MG/3ML 3 AMP.FOR I.M INJECT,12,AMP-VIAL,4
RISEK 40mg I.V.infusion,45,AMP-VIAL,6
ROMALEX 75MG/3ML 6 I.M. AMP.,19.5,AMP-VIAL,4
ROYAL PROVITE 5000 ORAL AMPULES,460,AMP-VIAL,13
SACROFER 100MG/5ML 5 AMP  I.V.,146,AMP-VIAL,13
SODIUM CHLORIDE 0.9% I.V INFUSION,10.5,AMP-VIAL,
SOMAZINA 500MG/4ML 5 AMP FOR IV/IM INJ.,80,AMP-VIAL,10
SPASMOCURE 40MG/2ML I.M. I.V. S.C. 5 AMP,24,AMP-VIAL,8
SPASMOFEN 3 AMP. FOR I.M. INJ.,18,AMP-VIAL,8
SPASMOFREE 5MG/2ML I.V./I.M. 3 AMP.,21,AMP-VIAL,8
SPECTRACEF 0.5 GM I.M/I.V VIAL,20,AMP-VIAL,12
SPECTRACEF 1 GM I.M/I.V VIAL,30.75,AMP-VIAL,12
STIMULAN 1GM/5M 6 AMP,18,AMP-VIAL,10
"SULBACEF 1.5GM VIAL I.M/I,V",52.5,AMP-VIAL,12
SULBIN 1.5GM VIAL,24,AMP-VIAL,12
SULBIN 375MG VIAL,12,AMP-VIAL,12
SULBIN 750MG VIAL,16,AMP-VIAL,12
SYNTHECORTIN 40MG/ML I.M AMP.,11,AMP-VIAL,5
SYNTOCINON 5 I.U./ML  I.M/I.VAMP.,21,AMP-VIAL,
TAVACIN 500MG VIAL 100ML,52.5,AMP-VIAL,12
TAXIMODEL 1GM I.M./I.V.VIAL,17.25,AMP-VIAL,12
TESTONON 250MG/ML I.M AMPOULES,16,AMP-VIAL,
TETANUS ANTITOXIN 1500 IU/ML 10 AMP,240,AMP-VIAL,12
TRIAMERICAN 1 GM I.M. VIAL,22,AMP-VIAL,12
TRIAMERICAN 500 MG I.M. VIAL,16.5,AMP-VIAL,12
TRIAXONE 1GM I.M. VIAL,48.75,AMP-VIAL,12
TRI-B 6*2 I.M.AMP.,27,AMP-VIAL,13
TRIXAMARC 1000MG I.M.VIAL,22,AMP-VIAL,12
UNASYN 1500MG I.M./I.V.VIAL,32,AMP-VIAL,12
UNICTAM 1.5GM  I.M/I.V.VIAL,24,AMP-VIAL,12
UNICTAM 375 MG VIAL I.M/I.V,12,AMP-VIAL,12
UNICTAM 750 MG VIAL I.M/I.V,16,AMP-VIAL,12
VANZAPRO 1 GM I.M/I.V. VIAL,38,AMP-VIAL,12
VISCERA 5MG/2ML 3 AMP.,15,AMP-VIAL,8
VISCERALGINE 5MG/2ML I.M / I.V 6 AMP,30,AMP-VIAL,8
VOLTAREN 75MG/3ML 3AMP.,23,AMP-VIAL,4
VOLTAREN 75MG/3ML 6 AMP,46,AMP-VIAL,4
VOTRIAXONE 1 GM I.M VIAL,21.75,AMP-VIAL,12
WINCEF 0.5GM I.M./I.V.VIAL,25.25,AMP-VIAL,12
WINCEF 1GM VIAL FOR I.M & I.V INJECTION,38,AMP-VIAL,12
WINTRIAXONE 0.5G I.M. VIAL,21.75,AMP-VIAL,12
WINTRIAXONE 1 GM I.M  VIAL,29,AMP-VIAL,12
XORAXON 1 GM I.M. VIAL,22,AMP-VIAL,12
XORAXON 1 GM I.V. VIAL,22,AMP-VIAL,12
XORIN 1gm vial,19,AMP-VIAL,12
ZACAGLONE 75MG/3ML 3 AMP,15.75,AMP-VIAL,4
ZINOL 1GM I.M./I.V.VIAL.,20,AMP-VIAL,12
ZOFRAN 4MG/2ML 5 AMP,137.55,AMP-VIAL,9
ZONACTAM 1.5 GM I.M. / I.V. VIAL,37.5,AMP-VIAL,12
ZURCAL 40MG VIAL FOR I.V. INJ.,45,AMP-VIAL,6
"1,2,3  20 TAB.",15,CAPS-TABS,5
ABIMOL 20TAB,8,CAPS-TABS,4
ABIMOL EXTRA 20TAB,9,CAPS-TABS,4
ACTIMAR  50 CAP,31,CAPS-TABS,13
ACYCLOVIR 400 STADA 35 TAB.,104,CAPS-TABS,12
ACYCLOVIR 800 STADA 35 TAB.,144,CAPS-TABS,12
ADANCOR 10MG 30TABS.,69,CAPS-TABS,10
ADOL 500MG 24 CAP,12,CAPS-TABS,4
ADOL EXTRA 24 CAP,16.5,CAPS-TABS,4
ADOLOR 10 MG 20 TAB.,12.75,CAPS-TABS,4
ADVANCRIB 400MG 5 TAB.,47,CAPS-TABS,12
ADWIFLAM 50MG E.R.20CAPS.,19.5,CAPS-TABS,4
ADWITINE 30 MG 30 CAPS.,126,CAPS-TABS,
AFTER MEALS  20CAP,30,CAPS-TABS,8
AGGREX 75MG 60 TAB,18,CAPS-TABS,4
AGOVALD  25MG 21TAB,111,CAPS-TABS,
AIG ESOMEPRAZOLE 40MG 14 CAP,80,CAPS-TABS,6
AIG ESOMEPRAZOLE 40MG 21 CAP,120,CAPS-TABS,6
AIRONYL 2.5mg 20tab.,6,CAPS-TABS,7
ALBENDAZOLE 400MG 6 TAB,24,CAPS-TABS,12
ALDOMET 250MG 30 TAB,39,CAPS-TABS,10
ALERGOLIBER10MG TABS,25,CAPS-TABS,6
ALERID 10MG 20 TAB,16,CAPS-TABS,5
ALERTAM 120MG F.C.TAB.,8.5,CAPS-TABS,5
ALFACEF 750MG F.C.TAB.,60,CAPS-TABS,12
ALKAPRESS 10MG 30 TAB,63,CAPS-TABS,10
ALKAPRESS 5MG 20TAB.,33,CAPS-TABS,10
ALKAPRIDE 50MG SCORED TAB.,45,CAPS-TABS,8
ALLEAR 5MG 20 F.C.TAB.,33,CAPS-TABS,5
ALLERBAN S.R. 2MG 20 TAB.,19.5,CAPS-TABS,5
ALLERFEN 180MG 30F.C.TAB,30,CAPS-TABS,5
ALLERFEN 60MG 30F.C.TAB.,18,CAPS-TABS,5
ALLERGEX CAFFEINE 20 TAB.,4.75,CAPS-TABS,5
ALLERGYL 4 MG TAB.,2.1,CAPS-TABS,5
ALPHINTERN 30 TAB.,36,CAPS-TABS,10
ALTIAZEM 60MG 40 TAB.,30,CAPS-TABS,10
ALZENTAL 200MG 6 TABS,15.75,CAPS-TABS,12
ALZENTAL 200MG F.C.TAB.,5.25,CAPS-TABS,12
ALZEPIZIL 5MG 14 TAB.,62,CAPS-TABS,12
AMAGLUST 30/4MG 30 TAB.,58.5,CAPS-TABS,11
AMARYL 1 MG 30 TAB.,19.8,CAPS-TABS,11
AMARYL 2 MG 30 TAB.,42,CAPS-TABS,11
AMARYL 3 MG 30 TAB.,46.5,CAPS-TABS,11
AMARYL 4 MG 30 TAB.,60,CAPS-TABS,11
AMARYL M 2/500MG 30 TAB.,45,CAPS-TABS,11
AMBEZIM-G 30 TAB,42.75,CAPS-TABS,10
AMBROXOL 30 MG TAB.,5.5,CAPS-TABS,7
AMEBAZOL 1GM 2F.C.TAB.,13.5,CAPS-TABS,12
AMIGRAINE 30 TAB,34.5,CAPS-TABS,4
AMIGRAWEST 2.5MG 4 F.C.TAB.,24,CAPS-TABS,4
AMILO 5MG 30TAB,30,CAPS-TABS,10
AMIPRIDE 50MG 20TAB.,43.25,CAPS-TABS,
AMIPROSTONE    8MCG   20CAPS,51,CAPS-TABS,8
AMIPROSTONE   24MCG   20CAPS,60,CAPS-TABS,8
AMITRIPTINE 50MG 30 TAB.,25.5,CAPS-TABS,
AMLOVERAN 10/10MG 30 TAB,120,CAPS-TABS,10
AMOCEREBRAL PLUS  30 TAB.,15,CAPS-TABS,10
AMOPHAGE 500mg 30tab,10.5,CAPS-TABS,11
AMOSAR FORTE 100/25 MGF.C.TAB.,84,CAPS-TABS,10
AMRIZOLE 250MG 20TAB.,6.75,CAPS-TABS,12
AMRIZOLE 500MG 20TAB.,12,CAPS-TABS,12
AMVASC 10 MG 30 CAPS.,30,CAPS-TABS,10
ANAFRONIL 25MG 30 TAB,36,CAPS-TABS,
ANAFRONIL SR 75MG 20 TAB,60,CAPS-TABS,
ANALLERGE 4MG 60 TAB,9,CAPS-TABS,5
ANAPRAMINE S.R. 75MG 20TAB.,33,CAPS-TABS,
ANCAVAZ 10/10 MG 20 TABS.,74,CAPS-TABS,10
ANDOPENTENE 300 MG   TABS,44,CAPS-TABS,
ANDOPOXETINE 30 MG 3 TAB.,22.8,CAPS-TABS,-
ANDOPOXETINE 60 MG 3 TAB.,33.75,CAPS-TABS,-
ANDOURISTAT 80 MG 20 TAB.,56,CAPS-TABS,
ANDOVIMPAMIDE 50 MG 20 TABS.,66,CAPS-TABS,
ANGILOW 10MG 30 TAB.,40.5,CAPS-TABS,10
ANOXICAM 20MG 20 TAB,28.8,CAPS-TABS,4
ANSELACOX 60 MG 30 TABS.,147.75,CAPS-TABS,4
ANSELACOX 90 MG 30 TABS.,156.75,CAPS-TABS,4
ANTI-COX II 15MG 20 TAB,54,CAPS-TABS,4
ANTI-COX II 15MG 30 TAB,54,CAPS-TABS,4
ANTIDIAZOX 500MG 12 TAB.,43.25,CAPS-TABS,12
ANTIFLAM 50MG 20 TAB.,22.25,CAPS-TABS,4
ANTINAL 200MG  24CAPS.,21,CAPS-TABS,8
ANTIVER 100MG TAB (PRICE PER STRIP),2.7,CAPS-TABS,12
ANTODINE 20MG 30 TAB,29.25,CAPS-TABS,6
ANTODINE 40MG 30 TAB,47.25,CAPS-TABS,6
ANTOPRAL 20 MG 14TAB.,36,CAPS-TABS,6
ANTOPRAL 40MG 14 TAB.,52.5,CAPS-TABS,6
ANTOX 30 TAB,32.5,CAPS-TABS,13
ANUVA  50MG 10 DISPERSIBLE TAB.,17.25,CAPS-TABS,4
APEXIDONE 0.5MG 30 F.C.TAB.,49.5,CAPS-TABS,
APEXIDONE 1MG 20.TAB.,54,CAPS-TABS,
APILIPEX  5 MG 30TAB,69,CAPS-TABS,
APPLE-LITE 30 TAB.,16.5,CAPS-TABS,-
ARCALION 200MG 40 TAB.,43,CAPS-TABS,13
ARCALION FORTE 400MG 30 TAB.,45,CAPS-TABS,13
ARCOXIA  60MG 14 TAB,115,CAPS-TABS,4
ARCOXIA 90MG 14 TAB,122,CAPS-TABS,4
ARIPIPREX 10MG 20 F.C.TAB.,80,CAPS-TABS,
ARTEC 20 TAB,52.5,CAPS-TABS,4
ARTHFREE 20MG 30 F.C.TAB.,150,CAPS-TABS,4
ARTHINEUR HARD GELATIN CAPS.,8,CAPS-TABS,4
ARTHROFAST 150 MG 14 MR TAB.,50.5,CAPS-TABS,4
ARTICU-SAFE 50MG 30HARD GELATIN CAPSULES,88.25,CAPS-TABS,4
ARYTHREX 200MG CAPS.,72,CAPS-TABS,4
ASMAKAST 10 MG 20 TAB.,42,CAPS-TABS,7
ASMAKAST 5 MG 30 CHEW. TAB.,54,CAPS-TABS,7
ASPOCID 75MG 20 TAB,6,CAPS-TABS,10
ASPOCID PAEDIATRIC 75MG 30 CHEW. TAB.,9,CAPS-TABS,10
ASPRICARLO 81MG 30  TABS,14.75,CAPS-TABS,10
ASTIN 10MG 20 TAB.,28.8,CAPS-TABS,5
ASTIN 20MG 20 TAB.,28.8,CAPS-TABS,5
ASTRANIDA 500 MG 10 TAB,33,CAPS-TABS,12
ATACAND 16MG 14 F.C.TAB.,85,CAPS-TABS,10
ATENO 50MG 20 F.C.TAB.,5.25,CAPS-TABS,10
ATENORETIC 30 CAPS.,40.5,CAPS-TABS,10
ATOMOXAPEX 25MG 30   CAP.,180,CAPS-TABS,
ATOR 10mg tab.,29,CAPS-TABS,10
ATOR 20mg f.c.tab.,47,CAPS-TABS,10
ATOR 40mg f.c.tab.,67.5,CAPS-TABS,10
ATOREZA 10/10MG 14 TAB,110,CAPS-TABS,10
ATOREZA 10/40 MG 28 TAB,126,CAPS-TABS,10
ATORSTAT 20MG 14TAB.,38,CAPS-TABS,10
ATSHI F.C.TAB,14.25,CAPS-TABS,5
AUGMENTIN 1 GM 14 TABLET,89.75,CAPS-TABS,12
AUGMENTIN 625MG F.C.TAB.,52.5,CAPS-TABS,12
AUGRAM 1 GM 7 TAB,27,CAPS-TABS,12
AVEROFAGE 15/850MG 30 F.C.TAB.,33.75,CAPS-TABS,11
AVEROMILAN 50MG 30TAB,85.74,CAPS-TABS,
AVEROTHIAZIDE 10/40/12.5MG 30 TABS.,81,CAPS-TABS,10
AVEROTHIAZIDE 5/20/12.5MG 30 TABS.,45,CAPS-TABS,10
AVEROZOLID 600 MG 10 TAB.,110.75,CAPS-TABS,12
AVIRON 24 TABS.,52,CAPS-TABS,13
A-VITON 50.000 I.U. CAPS.,9,CAPS-TABS,13
AVIVAVASC 10/160MG 28 TAB,84,CAPS-TABS,10
AVIVAVASC 5/160MG 28 TAB,74,CAPS-TABS,10
AVOSOYA 30 CAPS.,120,CAPS-TABS,13
AZATHIOPRINE 50MG 30TAB.,42.75,CAPS-TABS,
AZGOFLOX 400 MG 5 TAB,54,CAPS-TABS,4
AZGOVANC 20MG  HARD GELATIN 7 CAPS.,19,CAPS-TABS,6
AZROLID 500MG 6  TABS,43,CAPS-TABS,12
BACLOFEN 10MG 20 TAB.B.P.2011,14.25,CAPS-TABS,4
BACLOFEN 25MG 20 TAB.B.P.2011,21.75,CAPS-TABS,4
BE ACTIVE 30 CAPS.,23.4,CAPS-TABS,13
BEDREMINE 100 MG 30 TAB,117,CAPS-TABS,
BEDREMINE 50 MG 30 TABS,90,CAPS-TABS,
BEDREVIDA 500 MG XL 14 TAB.,69.6,CAPS-TABS,12
BENDAX 200 MG  6 TABLET,8,CAPS-TABS,12
BENGIRIDE  0.5MG  30CAP,88.5,CAPS-TABS,
BEPRA 20MG 14 F.C.TAB.,72,CAPS-TABS,6
BETACOR 80MG 30 TAB.,18,CAPS-TABS,10
BETALLERGE 0.25/2 MG 30 TABS.,19.8,CAPS-TABS,5
BETASERC 16MG 60 TAB.,88.25,CAPS-TABS,9
BETASERC 24MG 40 TAB.,88.25,CAPS-TABS,9
BETASERC 8MG 100 TAB.,63,CAPS-TABS,9
BI-ALCOFAN 150MG 30 TAB.,24.75,CAPS-TABS,4
BIENADOL 30 TAB.,15,CAPS-TABS,4
BILICHOL 12 CAPS.,5.9,CAPS-TABS,
BILTRICIDE 600MG F.C. TAB.,16.5,CAPS-TABS,12
BIOGLITA PLUS 15/850    20  TABS,28.8,CAPS-TABS,11
BIOGLITA PLUS 15/850MG 30 TAB.,43.2,CAPS-TABS,11
BIOMED-C 20 CAPS.,40,CAPS-TABS,13
